countrycode,seriescode,year,description
VNM_Mekong_River_Delta_AGG076_555,SI.POV.NAHC,YR2012,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM_North_Central_Coast_AGG077_555,SI.POV.NAHC,YR2010,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM_North_Central_Coast_AGG077_555,SI.POV.NAHC,YR2012,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM_Northeast_AGG078_555,SI.POV.NAHC,YR2010,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM_Northeast_AGG078_555,SI.POV.NAHC,YR2012,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM_Northwest_AGG082_555,SI.POV.NAHC,YR2010,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM_Northwest_AGG082_555,SI.POV.NAHC,YR2012,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM_Red_River_Delta_AGG079_555,SI.POV.NAHC,YR2010,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM_Red_River_Delta_AGG079_555,SI.POV.NAHC,YR2012,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM_South_Central_Coast_AGG080_555,SI.POV.NAHC,YR2010,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM_South_Central_Coast_AGG080_555,SI.POV.NAHC,YR2012,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM_Southeast_AGG081_555,SI.POV.NAHC,YR2010,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
VNM_Southeast_AGG081_555,SI.POV.NAHC,YR2012,"Source: 74910 Vietnam Poverty Assessment: Well Begun, Not Yet Done: Vietnam’s Remarkable Progress on Poverty Reduction and the Emerging Challenges , 2012, World Bank"
SLE,SI.POV.NAHC,YR2003,Source: A Poverty Profile for Sierra Leone
SLE,SI.POV.NAHC,YR2011,Source: A Poverty Profile for Sierra Leone
SLE_Bo_25414,SI.POV.NAHC,YR2003,Source: A Poverty Profile for Sierra Leone
SLE_Bo_25414,SI.POV.NAHC,YR2011,Source: A Poverty Profile for Sierra Leone
SLE_Bombali_25409,SI.POV.NAHC,YR2003,Source: A Poverty Profile for Sierra Leone
SLE_Bombali_25409,SI.POV.NAHC,YR2011,Source: A Poverty Profile for Sierra Leone
SLE_Bonthe_25415,SI.POV.NAHC,YR2003,Source: A Poverty Profile for Sierra Leone
SLE_Bonthe_25415,SI.POV.NAHC,YR2011,Source: A Poverty Profile for Sierra Leone
SLE_Kailahun_25406,SI.POV.NAHC,YR2003,Source: A Poverty Profile for Sierra Leone
SLE_Kailahun_25406,SI.POV.NAHC,YR2011,Source: A Poverty Profile for Sierra Leone
SLE_Kambia_25410,SI.POV.NAHC,YR2003,Source: A Poverty Profile for Sierra Leone
SLE_Kambia_25410,SI.POV.NAHC,YR2011,Source: A Poverty Profile for Sierra Leone
SLE_Kenema_25407,SI.POV.NAHC,YR2003,Source: A Poverty Profile for Sierra Leone
SLE_Kenema_25407,SI.POV.NAHC,YR2011,Source: A Poverty Profile for Sierra Leone
SLE_Koinadugu_25411,SI.POV.NAHC,YR2003,Source: A Poverty Profile for Sierra Leone
SLE_Koinadugu_25411,SI.POV.NAHC,YR2011,Source: A Poverty Profile for Sierra Leone
SLE_Kono_25408,SI.POV.NAHC,YR2003,Source: A Poverty Profile for Sierra Leone
SLE_Kono_25408,SI.POV.NAHC,YR2011,Source: A Poverty Profile for Sierra Leone
SLE_Moyamba_25416,SI.POV.NAHC,YR2003,Source: A Poverty Profile for Sierra Leone
SLE_Moyamba_25416,SI.POV.NAHC,YR2011,Source: A Poverty Profile for Sierra Leone
SLE_Port_Loko_25412,SI.POV.NAHC,YR2003,Source: A Poverty Profile for Sierra Leone
SLE_Port_Loko_25412,SI.POV.NAHC,YR2011,Source: A Poverty Profile for Sierra Leone
SLE_Pujehun_25417,SI.POV.NAHC,YR2003,Source: A Poverty Profile for Sierra Leone
SLE_Pujehun_25417,SI.POV.NAHC,YR2011,Source: A Poverty Profile for Sierra Leone
SLE_Tonkolili_25413,SI.POV.NAHC,YR2003,Source: A Poverty Profile for Sierra Leone
SLE_Tonkolili_25413,SI.POV.NAHC,YR2011,Source: A Poverty Profile for Sierra Leone
SLE_Western_Area_SL.WA_2657_SLE004,SI.POV.RUHC,YR2003,Source: A Poverty Profile for Sierra Leone
SLE_Western_Area_SL.WA_2657_SLE004,SI.POV.RUHC,YR2011,Source: A Poverty Profile for Sierra Leone
SLE_Western_Area_SL.WA_2657_SLE004,SI.POV.URHC,YR2003,Source: A Poverty Profile for Sierra Leone
SLE_Western_Area_SL.WA_2657_SLE004,SI.POV.URHC,YR2011,Source: A Poverty Profile for Sierra Leone
SDN,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
SDN_Al_Gadaref_37048,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
SDN_Al_Jazeera_SD.AJ_2745_SDN001,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
SDN_Blue_Nile_SD.BN_2749_SDN002,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
SDN_Kassala_SD.KA_68783_SDN008,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
SDN_Khartoum_SD.KH_2753_SDN009,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
SDN_Nile_River_SD.NI_2761_SDN004,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
SDN_Northern_Darfur_SD.ND_2757_SDN011,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
SDN_Northern_Kordofan_SD.NK_68784_SDN012,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
SDN_Northern_SD.NO_2755_SDN010,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
SDN_Red_Sea_SD.RS_40772_SDN013,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
SDN_Sennar_SD.SE_2762_SDN014,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
SDN_Southern_Darfur_SD.SD_2764_SDN018,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
SDN_Southern_Kordofan_SD.SK_4150_SDN019,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
SDN_Western_Darfur_SD.WD_2769_SDN024,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
SDN_White_Nile_SD.WN_2770_SDN026,SI.POV.NAHC,YR2009,Source: A Profile Profile for the Northern States of Sudan
KAZ,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_Akmolinskaya_KZ.AK_1714_KAZ001,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_Aktyubinskaya_KZ.AT_1715_KAZ002,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_Almatinskaya_KZ.AL_1716_KAZ003,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_Almaty_City_area_KZ.AC_37157_KAZ004,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_Astana_City_area_KZ.AS_1714.77_KAZ017,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_Atyrauskaya_KZ.AY_1717_KAZ005,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_East_KZ.EA_1728_KAZ015,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_Karagandinskaya_KZ.KA_1719_KAZ006,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_Kostanayskaya_KZ.KU_1720_KAZ008,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_Kyzylordinskaya_KZ.KY_1721_KAZ009,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_Mangistauskaya_KZ.MA_1724_KAZ010,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_North_KZ.NO_1726_KAZ012,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_Pavlodarskaya_KZ.PA_1725_KAZ011,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_South_KZ.SO_1727_KAZ013,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_West_KZ.WE_1729_KAZ016,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
KAZ_Zhambylskaya_37205,SI.POV.NAHC,YR2013,Source: Agency of Statistics of the Republic of Kazakhstan
SYR_Central_AGG066.5,SI.POV.NAHC,YR2007,"Source: Arab Development Challenges Report Background Paper 2011/15 Poverty and Inequality in Syria (1997-2007) Khalid Abu-Ismail, Ali Abdel-Gadir and Heba El-Laithy (UNDP)."
SYR_Coastal_AGG067.5,SI.POV.NAHC,YR2007,"Source: Arab Development Challenges Report Background Paper 2011/15 Poverty and Inequality in Syria (1997-2007) Khalid Abu-Ismail, Ali Abdel-Gadir and Heba El-Laithy (UNDP)."
SYR_North-Eastern_AGG068,SI.POV.NAHC,YR2007,"Source: Arab Development Challenges Report Background Paper 2011/15 Poverty and Inequality in Syria (1997-2007) Khalid Abu-Ismail, Ali Abdel-Gadir and Heba El-Laithy (UNDP)."
SYR_Southern_AGG069,SI.POV.NAHC,YR2007,"Source: Arab Development Challenges Report Background Paper 2011/15 Poverty and Inequality in Syria (1997-2007) Khalid Abu-Ismail, Ali Abdel-Gadir and Heba El-Laithy (UNDP)."
SYR,SI.POV.NAHC,YR2007,"Source: Arab Development Challenges Report
 Background Paper 2011/15
Poverty and Inequality in Syria (1997-
2007)
Khalid Abu-Ismail, Ali Abdel-Gadir and Heba El-Laithy (UNDP)"
BTN,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Bumthang_BT.BU_622_BTN001,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Chhukha_BT.CH_623_BTN002,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Dagana_BT.DA_624_BTN003,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Gasa_BT.GA_625_BTN004,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Ha_BT.HA_626_BTN005,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Lhuentse_BT.LH_627_BTN006,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Mongar_BT.MO_628_BTN007,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Paro_BT.PR_629_BTN008,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Pemagatshel_BT.PM_630_BTN009,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Punakha_BT.PU_631_BTN010,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Samdrup-Jonkha_BT.SJ_632_BTN011,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Samtse_BT.SM_633_BTN012,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Sarpang_BT.SA_634_BTN013,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Thimphu_BT.TM_635_BTN014,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Trashi_Yangtse_BT.TR_636_BTN015,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Trashigang_BT.TG_637_BTN016,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Trongsa_BT.TO_638_BTN017,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Tsirang_BT.CR_639_BTN018,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Wangdue-Phodrang_BT.WA_640_BTN019,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
BTN_Zhemgang_BT.SG_641_BTN020,SI.POV.NAHC,YR2012,"Source: Bhutan Poverty Analysis 2012, National Statistics Bureau Royal Government of Bhutan - World Bank"
IDN_Bali_ID.BA_1513_IDN002,SI.POV.NAHC,YR2002,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.NAHC,YR2003,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.NAHC,YR2004,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.NAHC,YR2005,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.NAHC,YR2006,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.NAHC,YR2007,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.NAHC,YR2008,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.NAHC,YR2009,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.NAHC,YR2010,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.NAHC,YR2011,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.NAHC,YR2012,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.NAHC,YR2013,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.RUHC,YR2002,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.RUHC,YR2003,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.RUHC,YR2004,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.RUHC,YR2005,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.RUHC,YR2006,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.RUHC,YR2007,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.RUHC,YR2008,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.RUHC,YR2009,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.RUHC,YR2010,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.RUHC,YR2011,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.RUHC,YR2012,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.RUHC,YR2013,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.URHC,YR2002,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.URHC,YR2003,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.URHC,YR2004,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.URHC,YR2005,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.URHC,YR2006,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.URHC,YR2007,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.URHC,YR2008,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.URHC,YR2009,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.URHC,YR2010,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.URHC,YR2011,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.URHC,YR2012,Source: BPS
IDN_Bali_ID.BA_1513_IDN002,SI.POV.URHC,YR2013,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.NAHC,YR2002,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.NAHC,YR2003,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.NAHC,YR2004,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.NAHC,YR2005,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.NAHC,YR2006,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.NAHC,YR2007,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.NAHC,YR2008,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.NAHC,YR2009,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.NAHC,YR2010,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.NAHC,YR2011,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.NAHC,YR2012,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.NAHC,YR2013,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.RUHC,YR2002,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.RUHC,YR2003,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.RUHC,YR2004,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.RUHC,YR2005,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.RUHC,YR2006,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.RUHC,YR2007,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.RUHC,YR2008,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.RUHC,YR2009,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.RUHC,YR2010,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.RUHC,YR2011,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.RUHC,YR2012,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.RUHC,YR2013,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.URHC,YR2002,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.URHC,YR2003,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.URHC,YR2004,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.URHC,YR2005,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.URHC,YR2006,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.URHC,YR2007,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.URHC,YR2008,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.URHC,YR2009,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.URHC,YR2010,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.URHC,YR2011,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.URHC,YR2012,Source: BPS
IDN_Bangka_Belitung_ID.BB_73609_IDN004,SI.POV.URHC,YR2013,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.NAHC,YR2002,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.NAHC,YR2003,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.NAHC,YR2004,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.NAHC,YR2005,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.NAHC,YR2006,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.NAHC,YR2007,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.NAHC,YR2008,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.NAHC,YR2009,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.NAHC,YR2010,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.NAHC,YR2011,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.NAHC,YR2012,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.NAHC,YR2013,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.RUHC,YR2002,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.RUHC,YR2003,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.RUHC,YR2004,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.RUHC,YR2005,Source: BPS
IDN_Banten_ID.BT_73610_IDN031,SI.POV.RUHC,YR2006,Source: BPS
