User,Gender,Location,Date,Type,Label,Code,Platz,Etiqueta,Stamp,Flag
Usuario41,Male,Canada,abril de 2014,Business,4,41.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario42,Female,Canada,febrero de 2017,Couple,5,42.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario44,Female,Canada,febrero de 2014,Friends,5,44.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario45,Female,Canada,enero de 2017,Family,3,45.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario46,Female,Canada,marzo de 2012,Couple,5,46.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario47,Female,Canada,febrero de 2015,Couple,5,47.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario48,Female,Canada,abril de 2018,Friends,4,48.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario49,Female,Canada,marzo de 2016,Friends,4,49.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario50,Female,Canada,febrero de 2012,Couple,5,50.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario51,Female,Canada,enero de 2017,Friends,5,51.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario52,Female,Canada,diciembre de 2015,Couple,3,52.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario53,Female,Canada,noviembre de 2018,Couple,2,53.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario54,Female,Canada,enero de 2014,Couple,4,54.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario55,Female,Canada,octubre de 2018,Couple,4,55.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario56,Female,Canada,enero de 2016,Couple,5,56.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario59,Female,Canada,diciembre de 2014,Friends,4,59.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario61,Female,Canada,febrero de 2016,Family,5,61.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario62,Female,Canada,enero de 2016,Friends,5,62.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario64,Female,Canada,enero de 2016,Friends,4,64.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario65,Female,Canada,febrero de 2014,Friends,3,65.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario66,Female,Canada,febrero de 2019,Couple,5,66.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario67,Female,Canada,enero de 2017,Couple,3,67.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario68,Female,Canada,enero de 2014,Couple,4,68.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario69,Female,Canada,febrero de 2014,Friends,4,69.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario70,Female,Canada,marzo de 2019,Couple,5,70.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario71,Female,Canada,enero de 2017,Friends,4,71.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario74,Female,Chequia,diciembre de 2015,Couple,4,74.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario75,Male,Colombia,febrero de 2014,Couple,4,75.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario76,Male,Estados Unidos,enero de 2016,Alone,5,76.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario78,Male,Estados Unidos,marzo de 2015,Friends,4,78.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario79,Male,Estados Unidos,julio de 2015,Family,4,79.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario81,Male,Estados Unidos,abril de 2015,Friends,5,81.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario83,Male,Estados Unidos,febrero de 2014,Friends,5,83.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario87,Female,Estados Unidos,marzo de 2015,Couple,4,87.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario88,Female,Estados Unidos,enero de 2016,Couple,4,88.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario89,Female,Estados Unidos,febrero de 2014,Friends,4,89.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario90,Female,Estados Unidos,diciembre de 2014,Alone,4,90.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario91,Female,Estados Unidos,noviembre de 2016,Couple,5,91.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario92,Female,Estados Unidos,mayo de 2017,Friends,5,92.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario93,Female,Estados Unidos,enero de 2019,Friends,5,93.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario94,Female,Estados Unidos,marzo de 2017,Couple,4,94.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario95,Female,Estados Unidos,noviembre de 2016,Friends,4,95.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario96,Female,Estados Unidos,febrero de 2019,Alone,4,96.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario98,Female,Estados Unidos,enero de 2017,Couple,3,98.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario100,Female,Estados Unidos,marzo de 2014,Couple,5,100.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario102,Female,Estados Unidos,abril de 2016,Friends,5,102.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario103,Female,Estados Unidos,febrero de 2017,Couple,3,103.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario104,Female,Estados Unidos,febrero de 2016,Couple,3,104.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario105,Male,Occidente,abril de 2014,Couple,5,105.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario106,Male,Occidente,noviembre de 2013,Couple,5,106.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario108,Male,Occidente,marzo de 2016,Friends,5,108.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario110,Female,Occidente,marzo de 2016,Alone,4,110.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario114,Female,Reino Unido,marzo de 2017,Couple,3,114.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario115,Female,Reino Unido,enero de 2018,Couple,5,115.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",cultural
Usuario116,Female,Sureste,febrero de 2017,Couple,5,116.0,bucerias art walk,cultural|diversion,"['cultural', 'diversion']",diversion
Usuario120,Male,Estados Unidos,diciembre de 2016,Couple,5,120.0,centro historico de tepic,cultural|religioso,"['cultural', 'religioso']",cultural
Usuario121,Male,Noreste,mayo de 2018,Alone,2,121.0,centro historico de tepic,cultural|religioso,"['cultural', 'religioso']",diversion
Usuario124,Male,Occidente,junio de 2019,Family,5,124.0,centro historico de tepic,cultural|religioso,"['cultural', 'religioso']",cultural
Usuario126,Female,Occidente,febrero de 2018,Family,4,126.0,centro historico de tepic,cultural|religioso,"['cultural', 'religioso']",diversion
Usuario127,Male,Peru,marzo de 2018,Business,4,127.0,centro historico de tepic,cultural|religioso,"['cultural', 'religioso']",cultural
Usuario129,Female,Sureste,diciembre de 2017,Family,4,129.0,centro historico de tepic,cultural|religioso,"['cultural', 'religioso']",diversion
Usuario130,Female,Venezuela,mayo de 2018,Business,5,130.0,centro historico de tepic,cultural|religioso,"['cultural', 'religioso']",cultural
Usuario131,Female,Alemania,mayo de 2016,Friends,4,131.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",diversion
Usuario133,Male,Centro,junio de 2013,Family,3,133.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",cultural
Usuario134,Female,Centro,julio de 2017,Friends,4,134.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",diversion
Usuario135,Female,Centro,octubre de 2016,Friends,5,135.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",cultural
Usuario136,Female,Centro,diciembre de 2012,Family,4,136.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",diversion
Usuario137,Male,Estados Unidos,diciembre de 2018,Couple,5,137.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",cultural
Usuario140,Female,Estados Unidos,abril de 2015,Family,4,140.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",diversion
Usuario141,Male,Noreste,marzo de 2016,Family,4,141.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",cultural
Usuario143,Male,Noroeste,agosto de 2017,Couple,5,143.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",diversion
Usuario145,Male,Occidente,diciembre de 2015,Family,5,145.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",cultural
Usuario149,Male,Occidente,abril de 2017,Family,4,149.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",diversion
Usuario150,Male,Occidente,abril de 2015,Family,4,150.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",cultural
Usuario151,Male,Occidente,julio de 2016,Family,4,151.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",diversion
Usuario153,Male,Occidente,noviembre de 2014,Family,5,153.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",cultural
Usuario154,Male,Occidente,octubre de 2015,Family,5,154.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",diversion
Usuario157,Female,Occidente,diciembre de 2015,Family,5,157.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",cultural
Usuario158,Female,Occidente,septiembre de 2015,Couple,5,158.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",diversion
Usuario159,Female,Occidente,diciembre de 2015,Family,3,159.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",cultural
Usuario160,Female,Occidente,noviembre de 2014,Couple,5,160.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",diversion
Usuario161,Female,Occidente,enero de 2014,Friends,5,161.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",cultural
Usuario162,Female,Occidente,marzo de 2017,Family,5,162.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",diversion
Usuario163,Female,Occidente,agosto de 2014,Family,4,163.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",cultural
Usuario164,Male,Reino Unido,diciembre de 2015,Alone,3,164.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",diversion
Usuario165,Female,Sureste,abril de 2015,Family,4,165.0,cerro de la contaduria,cultural|Aventura,"['cultural', 'aventura']",cultural
Usuario167,Female,Argentina,mayo de 2014,Friends,4,167.0,galerias vallarta,diversion,['diversion'],diversion
Usuario170,Male,Canada,abril de 2017,Couple,4,170.0,galerias vallarta,diversion,['diversion'],cultural
Usuario171,Male,Canada,agosto de 2014,Alone,4,171.0,galerias vallarta,diversion,['diversion'],diversion
Usuario174,Female,Canada,febrero de 2017,Couple,5,174.0,galerias vallarta,diversion,['diversion'],cultural
Usuario176,Female,Canada,noviembre de 2015,Couple,3,176.0,galerias vallarta,diversion,['diversion'],diversion
Usuario178,Female,Canada,febrero de 2019,Alone,5,178.0,galerias vallarta,diversion,['diversion'],cultural
Usuario179,Male,Centro,julio de 2017,Family,3,179.0,galerias vallarta,diversion,['diversion'],diversion
Usuario180,Male,Centro,noviembre de 2016,Family,5,180.0,galerias vallarta,diversion,['diversion'],cultural
Usuario182,Male,Centro,julio de 2015,Couple,4,182.0,galerias vallarta,diversion,['diversion'],diversion
Usuario184,Male,Estados Unidos,julio de 2017,Couple,5,184.0,galerias vallarta,diversion,['diversion'],cultural
Usuario188,Male,Estados Unidos,junio de 2016,Family,5,188.0,galerias vallarta,diversion,['diversion'],diversion
Usuario189,Male,Estados Unidos,abril de 2019,Couple,3,189.0,galerias vallarta,diversion,['diversion'],cultural
Usuario190,Female,Estados Unidos,marzo de 2016,Friends,5,190.0,galerias vallarta,diversion,['diversion'],diversion
Usuario192,Female,Estados Unidos,noviembre de 2015,Friends,3,192.0,galerias vallarta,diversion,['diversion'],cultural
Usuario193,Female,Estados Unidos,marzo de 2015,Couple,5,193.0,galerias vallarta,diversion,['diversion'],diversion
Usuario195,Female,Estados Unidos,octubre de 2014,Alone,4,195.0,galerias vallarta,diversion,['diversion'],cultural
Usuario198,Male,Noreste,mayo de 2019,Family,4,198.0,galerias vallarta,diversion,['diversion'],diversion
Usuario199,Female,Noreste,abril de 2017,Family,3,199.0,galerias vallarta,diversion,['diversion'],cultural
Usuario200,Male,Noroeste,enero de 2016,Couple,3,200.0,galerias vallarta,diversion,['diversion'],diversion
Usuario201,Male,Noroeste,noviembre de 2014,Couple,5,201.0,galerias vallarta,diversion,['diversion'],cultural
Usuario203,Male,Occidente,julio de 2016,Family,5,203.0,galerias vallarta,diversion,['diversion'],diversion
Usuario204,Male,Occidente,diciembre de 2019,Couple,5,204.0,galerias vallarta,diversion,['diversion'],cultural
Usuario205,Male,Occidente,marzo de 2018,Friends,5,205.0,galerias vallarta,diversion,['diversion'],diversion
Usuario206,Male,Occidente,diciembre de 2019,Family,5,206.0,galerias vallarta,diversion,['diversion'],cultural
Usuario207,Male,Occidente,noviembre de 2016,Couple,3,207.0,galerias vallarta,diversion,['diversion'],diversion
Usuario208,Male,Occidente,enero de 2019,Alone,5,208.0,galerias vallarta,diversion,['diversion'],cultural
Usuario209,Male,Occidente,enero de 2015,Couple,5,209.0,galerias vallarta,diversion,['diversion'],diversion
Usuario210,Male,Occidente,mayo de 2018,Family,1,210.0,galerias vallarta,diversion,['diversion'],cultural
Usuario215,Female,Occidente,diciembre de 2015,Family,5,215.0,galerias vallarta,diversion,['diversion'],diversion
Usuario217,Female,Occidente,septiembre de 2014,Family,5,217.0,galerias vallarta,diversion,['diversion'],cultural
Usuario218,Female,Occidente,mayo de 2017,Family,5,218.0,galerias vallarta,diversion,['diversion'],diversion
Usuario219,Female,Occidente,abril de 2017,Family,4,219.0,galerias vallarta,diversion,['diversion'],cultural
Usuario220,Female,Occidente,abril de 2018,Family,1,220.0,galerias vallarta,diversion,['diversion'],diversion
Usuario225,Female,Occidente,octubre de 2016,Couple,5,225.0,galerias vallarta,diversion,['diversion'],cultural
Usuario228,Male,Peru,marzo de 2017,Couple,3,228.0,galerias vallarta,diversion,['diversion'],religioso
Usuario229,Female,Peru,mayo de 2018,Couple,3,229.0,galerias vallarta,diversion,['diversion'],cultural
Usuario230,Female,Peru,mayo de 2016,Family,4,230.0,galerias vallarta,diversion,['diversion'],religioso
Usuario231,Female,Puerto Rico,enero de 2015,Couple,4,231.0,galerias vallarta,diversion,['diversion'],cultural
Usuario233,Male,Reino Unido,junio de 2016,Family,4,233.0,galerias vallarta,diversion,['diversion'],religioso
Usuario234,Male,Reino Unido,marzo de 2015,Friends,4,234.0,galerias vallarta,diversion,['diversion'],cultural
Usuario235,Female,Reino Unido,septiembre de 2016,Couple,5,235.0,galerias vallarta,diversion,['diversion'],religioso
Usuario236,Male,Canada,marzo de 2017,Couple,3,236.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario239,Male,Centro,abril de 2017,Family,3,239.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",religioso
Usuario240,Male,Centro,septiembre de 2016,Family,5,240.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario241,Male,Centro,junio de 2016,Couple,5,241.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",religioso
Usuario242,Male,Centro,octubre de 2019,Couple,1,242.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario243,Male,Centro,noviembre de 2016,Family,5,243.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",religioso
Usuario244,Female,Centro,febrero de 2017,Alone,3,244.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario246,Female,Centro,febrero de 2016,Friends,5,246.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",aventura
Usuario249,Female,Centro,agosto de 2017,Friends,5,249.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario250,Male,Estados Unidos,diciembre de 2016,Family,5,250.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",aventura
Usuario251,Male,Noreste,mayo de 2017,Family,4,251.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario252,Male,Noreste,mayo de 2017,Family,2,252.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",aventura
Usuario253,Female,Noreste,abril de 2017,Family,5,253.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario256,Male,Noroeste,octubre de 2016,Friends,5,256.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",aventura
Usuario257,Male,Noroeste,septiembre de 2018,Couple,4,257.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario258,Male,Occidente,marzo de 2018,Friends,2,258.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",aventura
Usuario259,Male,Occidente,septiembre de 2019,Family,5,259.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario260,Male,Occidente,noviembre de 2019,Family,4,260.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",aventura
Usuario261,Male,Occidente,septiembre de 2019,Family,1,261.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario262,Male,Occidente,octubre de 2018,Couple,5,262.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",aventura
Usuario263,Male,Occidente,julio de 2016,Couple,5,263.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario264,Male,Occidente,junio de 2016,Couple,5,264.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",aventura
Usuario265,Male,Occidente,julio de 2018,Family,4,265.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario266,Male,Occidente,julio de 2017,Family,5,266.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",aventura
Usuario267,Female,Occidente,marzo de 2018,Family,4,267.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario268,Female,Occidente,septiembre de 2018,Family,5,268.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",aventura
Usuario269,Female,Occidente,julio de 2017,Couple,3,269.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario270,Female,Occidente,agosto de 2018,Family,5,270.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",aventura
Usuario271,Female,Occidente,diciembre de 2018,Family,4,271.0,isla de coral,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario272,Female,Canada,enero de 2016,Couple,5,272.0,isla isabel,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",aventura
Usuario274,Male,Centro,diciembre de 2018,Couple,5,274.0,isla isabel,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario275,Male,Estados Unidos,abril de 2017,Friends,1,275.0,isla isabel,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",aventura
Usuario276,Female,Estados Unidos,febrero de 2017,Couple,5,276.0,isla isabel,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario277,Male,Occidente,abril de 2018,Family,4,277.0,isla isabel,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",aventura
Usuario278,Male,Occidente,mayo de 2018,Couple,5,278.0,isla isabel,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",cultural
Usuario279,Male,Reino Unido,febrero de 2016,Family,5,279.0,isla isabel,Turismo de sol y playa|ecoturismo,"['', '', 'sol', '', '', '']",aventura
Usuario281,Male,Argentina,septiembre de 2015,Family,4,281.0,islas marietas,Turismo de sol y playa|Aventura|ecoturismo,"['', '', 'sol', '', '', 'aventura', '']",cultural
Usuario283,Male,Argentina,abril de 2015,Couple,4,283.0,islas marietas,Turismo de sol y playa|Aventura|ecoturismo,"['', '', 'sol', '', '', 'aventura', '']",aventura
Usuario284,Male,Argentina,diciembre de 2014,Business,5,284.0,islas marietas,Turismo de sol y playa|Aventura|ecoturismo,"['', '', 'sol', '', '', 'aventura', '']",cultural
Usuario285,Male,Argentina,julio de 2016,Friends,5,285.0,islas marietas,Turismo de sol y playa|Aventura|ecoturismo,"['', '', 'sol', '', '', 'aventura', '']",aventura
Usuario286,Male,Argentina,enero de 2015,Family,4,286.0,islas marietas,Turismo de sol y playa|Aventura|ecoturismo,"['', '', 'sol', '', '', 'aventura', '']",cultural
Usuario287,Male,Argentina,abril de 2019,Couple,5,287.0,islas marietas,Turismo de sol y playa|Aventura|ecoturismo,"['', '', 'sol', '', '', 'aventura', '']",aventura
Usuario288,Male,Argentina,diciembre de 2014,Business,5,288.0,islas marietas,Turismo de sol y playa|Aventura|ecoturismo,"['', '', 'sol', '', '', 'aventura', '']",cultural
Usuario289,Male,Argentina,noviembre de 2016,Couple,5,289.0,islas marietas,Turismo de sol y playa|Aventura|ecoturismo,"['', '', 'sol', '', '', 'aventura', '']",aventura
Usuario292,Male,Argentina,enero de 2017,Couple,5,292.0,islas marietas,Turismo de sol y playa|Aventura|ecoturismo,"['', '', 'sol', '', '', 'aventura', '']",cultural
Usuario294,Male,Argentina,enero de 2015,Couple,2,294.0,islas marietas,Turismo de sol y playa|Aventura|ecoturismo,"['', '', 'sol', '', '', 'aventura', '']",aventura
Usuario300,Female,Argentina,enero de 2017,Family,3,300.0,islas marietas,Turismo de sol y playa|Aventura|ecoturismo,"['', '', 'sol', '', '', 'aventura', '']",cultural
Usuario301,Female,Argentina,mayo de 2014,Couple,4,301.0,islas marietas,Turismo de sol y playa|Aventura|ecoturismo,"['', '', 'sol', '', '', 'aventura', '']",aventura
Usuario302,Female,Argentina,enero de 2015,Friends,5,302.0,islas marietas,Turismo de sol y playa|Aventura|ecoturismo,"['', '', 'sol', '', '', 'aventura', '']",cultural
Usuario303,Female,Argentina,febrero de 2015,Friends,5,303.0,islas marietas,Turismo de sol y playa|Aventura|ecoturismo,"['', '', 'sol', '', '', 'aventura', '']",aventura
